datahora_extracao,indicador,valor,unidade,fonte
27/07/2026 11:58,Nível Guaiba_PortoAlegre_CaisMaua,1.7,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.39,m/48h,ANA
27/07/2026 11:58,Nível Rio_Gravatai,4.62,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_Gravatai,0.05,m/48h,ANA
27/07/2026 11:58,Nível Rio_dos_Sinos_SaoLeopoldo,4.53,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.04,m/48h,ANA
27/07/2026 11:58,Nível Rio_Cai,3.97,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_Cai,-2.45,m/48h,ANA
27/07/2026 11:58,Nível Rio_Cai_Montenegro,2.82,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_Cai_Montenegro,-2.24,m/48h,ANA
27/07/2026 11:58,Nível Rio_Cai_NovaPalmira,1.68,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_Cai_NovaPalmira,-0.16,m/48h,ANA
27/07/2026 11:58,Nível Rio_Jacui_Triunfo,9.19,m,ANA / fallback
27/07/2026 11:58,Tendência 48h Rio_Jacui_Triunfo,0.69,m/48h,ANA
27/07/2026 11:58,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
27/07/2026 11:58,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
27/07/2026 11:58,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
27/07/2026 11:58,acumulado_obs_24h_mm,7.1,mm,Open-Meteo
27/07/2026 11:58,acumulado_obs_72h_mm,11.1,mm,Open-Meteo
27/07/2026 11:58,acumulado_obs_7d_mm,115.7,mm,Open-Meteo
27/07/2026 11:58,previsto_24h_mm,33.8,mm,Open-Meteo
27/07/2026 11:58,previsto_48h_mm,68.4,mm,Open-Meteo
27/07/2026 11:58,previsto_72h_mm,68.4,mm,Open-Meteo
27/07/2026 11:58,dias_chuva_intensa_5d,0,dias,Open-Meteo
27/07/2026 11:58,Aviso INMET (máx severidade),,-,INMET
27/07/2026 11:58,Qtd avisos INMET vigentes,0,un,INMET
27/07/2026 11:58,Chuva observada 24h,1.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 11:58,Chuva observada 72h,3.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 11:58,Chuva observada 7 dias,106.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 11:58,Dias com chuva (últimos 5),1,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 11:58,Qualidade da série de chuva,107 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 11:58,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 11:58,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
27/07/2026 11:58,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),106.6 mm/7d · ACEITA · 107 mm/7d · cobertura 100%,-,controle de qualidade
27/07/2026 11:58,Chuva prevista 48h (Poaclima/Catavento),65.0,mm,Poaclima/Catavento
27/07/2026 11:58,Previsão 27/07 — Pancadas de chuva isoladas,30.0,mm,Poaclima/Catavento
27/07/2026 11:58,Previsão 28/07 — Chuva e raios,35.0,mm,Poaclima/Catavento
27/07/2026 11:58,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
27/07/2026 11:58,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
27/07/2026 11:58,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
27/07/2026 11:58,Alerta Poaclima vigente,,-,Poaclima
27/07/2026 11:58,Chuva acumulada Poaclima,,mm,Poaclima
27/07/2026 11:58,Nível Usina do Gasômetro (Poaclima),1.2,m,Poaclima
27/07/2026 11:58,Nível Cais Mauá (Poaclima),1.7,m,Poaclima
27/07/2026 11:58,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
27/07/2026 11:58,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
27/07/2026 11:58,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
27/07/2026 11:58,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
27/07/2026 11:58,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
