datahora_extracao,indicador,valor,unidade,fonte
26/07/2026 12:55,Nível Guaiba_PortoAlegre_CaisMaua,1.85,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.27,m/48h,ANA
26/07/2026 12:55,Nível Rio_Gravatai,4.62,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_Gravatai,0.15,m/48h,ANA
26/07/2026 12:55,Nível Rio_dos_Sinos_SaoLeopoldo,4.55,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.23,m/48h,ANA
26/07/2026 12:55,Nível Rio_Cai,4.89,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_Cai,-3.0,m/48h,ANA
26/07/2026 12:55,Nível Rio_Cai_Montenegro,3.77,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_Cai_Montenegro,-2.36,m/48h,ANA
26/07/2026 12:55,Nível Rio_Cai_NovaPalmira,1.74,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_Cai_NovaPalmira,-0.24,m/48h,ANA
26/07/2026 12:55,Nível Rio_Jacui_Triunfo,9.11,m,ANA / fallback
26/07/2026 12:55,Tendência 48h Rio_Jacui_Triunfo,0.89,m/48h,ANA
26/07/2026 12:55,Cota de Atenção (Guaíba),2.5,m,Plano Contingência
26/07/2026 12:55,Cota de Alerta (Guaíba),3.15,m,Plano Contingência
26/07/2026 12:55,Cota de Inundação (Guaíba),3.6,m,Plano Contingência
26/07/2026 12:55,acumulado_obs_24h_mm,2.9,mm,Open-Meteo
26/07/2026 12:55,acumulado_obs_72h_mm,5.5,mm,Open-Meteo
26/07/2026 12:55,acumulado_obs_7d_mm,124.0,mm,Open-Meteo
26/07/2026 12:55,previsto_24h_mm,4.4,mm,Open-Meteo
26/07/2026 12:55,previsto_48h_mm,15.7,mm,Open-Meteo
26/07/2026 12:55,previsto_72h_mm,60.9,mm,Open-Meteo
26/07/2026 12:55,dias_chuva_intensa_5d,0,dias,Open-Meteo
26/07/2026 12:55,Aviso INMET (máx severidade),,-,INMET
26/07/2026 12:55,Qtd avisos INMET vigentes,0,un,INMET
26/07/2026 12:55,Alerta Poaclima vigente,,-,Poaclima
26/07/2026 12:55,Chuva acumulada Poaclima,,mm,Poaclima
26/07/2026 12:55,Nível Usina do Gasômetro (Poaclima),1.28,m,Poaclima
26/07/2026 12:55,Nível Cais Mauá (Poaclima),1.85,m,Poaclima
26/07/2026 12:55,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
26/07/2026 12:55,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
26/07/2026 12:55,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 12:55,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 12:55,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
