datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 12:57,Nível Guaiba_PortoAlegre_CaisMaua,1.96,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Guaiba_PortoAlegre_CaisMaua,0.27,m/48h,ANA
29/07/2026 12:57,Nível Rio_Gravatai,4.83,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_Gravatai,0.21,m/48h,ANA
29/07/2026 12:57,Nível Rio_dos_Sinos_SaoLeopoldo,4.77,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.25,m/48h,ANA
29/07/2026 12:57,Nível Rio_Cai,12.23,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_Cai,8.28,m/48h,ANA
29/07/2026 12:57,Nível Rio_Cai_Montenegro,6.34,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_Cai_Montenegro,3.55,m/48h,ANA
29/07/2026 12:57,Nível Rio_Cai_NovaPalmira,4.63,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_Cai_NovaPalmira,2.95,m/48h,ANA
29/07/2026 12:57,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
29/07/2026 12:57,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
29/07/2026 12:57,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 12:57,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 12:57,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 12:57,acumulado_obs_24h_mm,21.9,mm,Open-Meteo
29/07/2026 12:57,acumulado_obs_72h_mm,67.2,mm,Open-Meteo
29/07/2026 12:57,acumulado_obs_7d_mm,95.3,mm,Open-Meteo
29/07/2026 12:57,previsto_24h_mm,0.1,mm,Open-Meteo
29/07/2026 12:57,previsto_48h_mm,0.1,mm,Open-Meteo
29/07/2026 12:57,previsto_72h_mm,0.1,mm,Open-Meteo
29/07/2026 12:57,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 12:57,Aviso INMET (máx severidade),Amarelo,-,INMET
29/07/2026 12:57,Qtd avisos INMET vigentes,1,un,INMET
29/07/2026 12:57,Chuva observada 24h,43.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 12:57,Chuva observada 72h,98.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 12:57,Chuva observada 7 dias,122.4,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 12:57,Dias com chuva (últimos 5),3,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 12:57,Qualidade da série de chuva,122 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 12:57,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 12:57,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
29/07/2026 12:57,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),122.4 mm/7d · ACEITA · 122 mm/7d · cobertura 100%,-,controle de qualidade
29/07/2026 12:57,Chuva prevista 48h (Poaclima/Catavento),50.0,mm,Poaclima/Catavento
29/07/2026 12:57,Previsão 29/07 — Chuva e raios,50.0,mm,Poaclima/Catavento
29/07/2026 12:57,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
29/07/2026 12:57,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
29/07/2026 12:57,Previsão 01/08 — Pancadas de chuva isoladas,10.0,mm,Poaclima/Catavento
29/07/2026 12:57,Previsão 02/08 — Encoberto e chuva,5.0,mm,Poaclima/Catavento
29/07/2026 12:57,Alerta Poaclima vigente,,-,Poaclima
29/07/2026 12:57,Chuva acumulada Poaclima,,mm,Poaclima
29/07/2026 12:57,Nível Usina do Gasômetro (Poaclima),1.4,m,Poaclima
29/07/2026 12:57,Nível Cais Mauá (Poaclima),1.96,m,Poaclima
29/07/2026 12:57,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
29/07/2026 12:57,Alertas regionais vigentes (Defesa Civil),0,un,Poaclima
